node1	node2	provenance
CKS1B	SKP2	ppi
MYC	SKP2	ppi
MYC	CDK4	ppi
MYC	SKP1	ppi
MYC	MSH2	ppi
MYC	CDK6	ppi
MYC	CDKN2B	ppi
MYC	CDKN2C	ppi
COPS5	SMAD4	ppi
COPS5	RAD9A	ppi
COPS5	MDC1	ppi
CAND1	CUL4A	ppi
CAND1	RBX1	ppi
RAD9A	MSH2	ppi
RAD9A	MSH3	ppi
CCNA1	CDK2	ppi
XPA	PCNA	ppi
BRIP1	BLM	ppi
MSH2	PCNA	ppi
MSH2	MSH3	ppi
CCND3	CDK6	ppi
CCND3	CDK4	ppi
CDK6	CDKN2C	ppi
CDK6	CCNH	ppi
CDK6	CDKN2B	ppi
CDK6	CDK2	ppi
CDK6	CDK4	ppi
CDK6	CCND2	ppi
PCNA	MSH3	ppi
PCNA	POLD3	ppi
MRE11	LIG1	ppi
MRE11	CDK2	ppi
CDKN2C	CDK4	ppi
CDKN2C	CCND2	ppi
CDKN2C	CDKN2B	ppi
NEDD8	NUB1	ppi
PCGF2	PHC1	ppi
PCGF2	CCND2	ppi
MDC1	RNF8	ppi
MDC1	H2AX	ppi
CUL4B	RBX1	ppi
RBX1	CUL4A	ppi
RBX1	SERTAD1	ppi
PHC1	BMI1	ppi
PCGF6	BMI1	ppi
SKP1	CDK2	ppi
SKP1	SKP2	ppi
SKP1	CDK4	ppi
PRKDC	RNF8	ppi
E2F5	RBL1	ppi
CDKN2B	CDK4	ppi
CDKN2B	CCND2	ppi
SKP2	CDK2	ppi
CDK2	CCNH	ppi
CDK2	CCND2	ppi
CDK2	ORC2	ppi
CCND2	CDK4	ppi
E2F4	TFDP1	pathways
E2F4	TFDP2	pathways
E2F4	RBL2	pathways
E2F4	HDAC1	pathways
E2F4	RBL1	pathways
E2F4	CDK2	pathways
E2F4	SMAD3	pathways
E2F4	SMAD4	pathways
E2F4	SMAD2	pathways
E2F4	TP53	pathways
E2F4	CDKN1A	pathways
E2F4	CDK4	pathways
E2F4	CDKN1B	pathways
E2F4	CCND1	pathways
E2F4	CDK6	pathways
E2F4	CCND2	pathways
E2F4	CCND3	pathways
CDC25B	CDK1	pathways
CDC25B	CCNB2	pathways
CDC25B	CCNB1	pathways
CDC25B	CDK5	pathways
RYBP	BMI1	pathways
