node1	node2	provenance
ITGB1	VCAM1	ppi
MCM2	MCM10	ppi
MCM2	VCAM1	ppi
MCM2	MCM4	ppi
XRCC1	FYN	ppi
MCM4	VCAM1	ppi
MSH2	RAD9A	ppi
KDM1A	FYN	ppi
ERCC1	ERCC4	pathways
ERCC1	RPA3	pathways
ERCC1	RPA1	pathways
ERCC1	RPA2	pathways
ERCC1	RAD51	pathways
ERCC1	RAD52	pathways
PRKDC	XRCC5	pathways
PRKDC	XRCC6	pathways
PRKDC	DCLRE1C	pathways
PRKDC	XRCC4	pathways
PRKDC	LIG4	pathways
PRKDC	NHEJ1	pathways
P4HA2	P4HA3	pathways
P4HA2	P4HA1	pathways
P4HA2	P4HB	pathways
P4HA2	COL1A2	pathways
P4HA2	COL3A1	pathways
P4HA2	COL1A1	pathways
P4HA2	COL10A1	pathways
ITGB3	ITGA2B	pathways
ITGB3	BCAR1	pathways
ITGB3	CRK	pathways
ITGB3	FN1	pathways
ITGB3	GRB2	pathways
ITGB3	SOS1	pathways
ITGB3	SHC1	pathways
ITGB3	SRC	pathways
ITGB3	TLN1	pathways
ITGB3	THBS1	pathways
ITGB3	ITGAV	pathways
ITGB3	TNC	pathways
ITGB3	SPP1	pathways
ITGB3	PTK2	pathways
ITGB3	VEGFA	pathways
ITGB3	VTN	pathways
ITGB3	AKT1	pathways
ERO1B	P4HB	pathways
APEX1	PCNA	pathways
APEX1	POLD3	pathways
APEX1	POLD4	pathways
APEX1	RPA1	pathways
APEX1	FEN1	pathways
APEX1	POLD2	pathways
APEX1	RPA2	pathways
APEX1	RPA3	pathways
APEX1	POLD1	pathways
APEX1	LIG1	pathways
APEX1	POLB	pathways
APEX1	OGG1	pathways
APEX1	PARP1	pathways
LYN	CRKL	pathways
LYN	RAPGEF1	pathways
LYN	PIK3R1	pathways
LYN	PLCG1	pathways
LYN	SHC1	pathways
LYN	SOS1	pathways
LYN	GRB2	pathways
LYN	VAV1	pathways
LYN	FYN	pathways
SH3PXD2A	ADAM19	pathways
SH3PXD2A	ADAM12	pathways
SH3PXD2A	ADAM15	pathways
PLXNA1	FYN	pathways
PLXNA1	NRP1	pathways
COL4A2	COL4A1	pathways
COL4A2	COL4A5	pathways
COL4A2	COL4A6	pathways
COL4A2	MSR1	pathways
P4HA3	P4HB	pathways
P4HA3	P4HA1	pathways
P4HA3	COL1A1	pathways
P4HA3	COL1A2	pathways
P4HA3	COL10A1	pathways
P4HA3	COL3A1	pathways
