,Gene symbol,Nb of communities,degree PPI ntw,degree Pathways ntw,degree Coexp ntw,degree Complexes ntw,max degree,sum degrees
1811,TMEM9,1,15,,,1,15,16
1812,NTRK1,1,18,34,,3,34,55
1813,PTEN,1,48,11,,2,48,61
1814,OTUD3,1,1,1,,,1,2
1842,C3orf62,1,11,,785,2,785,798
1844,TFAP2B,1,11,11,114,,114,136
1791,ALKBH7,1,4,,,,4,4
1845,YEATS4,1,13,1,,25,25,39
1872,ARL14EP,1,4,,,7,7,11
1873,PIAS1,1,105,2,,2,105,109
1874,AFG3L2,1,6,6,,12,12,24
1875,HDAC6,1,41,26,,8,41,75
1876,MOCS3,1,4,1,,,4,5
1877,ISCU,1,17,3,,,17,20
1878,GPD1,1,7,,,1,7,8
1879,SDHB,1,8,3,,3,8,14
1880,NFS1,1,3,4,,2,4,9
1881,CBX5,1,65,5,,13,65,83
1882,NDUFAB1,1,35,2,,49,49,86
1883,SDHA,1,129,3,,9,129,141
1884,MICU1,1,,,,4,4,4
1885,SMDT1,1,,6,,4,6,10
1886,SDHC,1,8,3,,,8,11
1887,MBD1,1,38,2,,5,38,45
1888,NDUFV3,1,5,,,46,46,51
1889,TRIM28,1,28,4,,40,40,72
1890,MICU2,1,1,,,4,4,5
1891,MFN1,1,,,,3,3,3
1892,PEPD,1,4,,,2,4,6
1893,PMPCB,1,5,9,,1,9,15
1894,GJA10,1,1,,1472,,1472,1473
1871,HSPD1,1,114,,,46,114,160
1870,CDNF,1,,,,2,2,2
1869,SETDB1,1,215,1,,14,215,230
1856,ZNF45,1,,1,,,1,1
1846,ACOT1,1,,,,1,1,1
1847,PPIF,1,21,,,9,21,30
1848,SPG7,1,30,6,,2,30,38
1849,LYRM4,1,1,3,,8,8,12
1850,ADSL,1,3,,,20,20,23
1851,MAIP1,1,5,6,,,6,11
1852,OTC,1,,1,290,2,290,293
1853,ATF7IP,1,65,1,,4,65,70
1854,HSPA9,1,31,,,9,31,40
1855,MCUB,1,1,,,7,7,8
1857,UBAC2,1,10,,,3,10,13
1868,MCU,1,,,,4,4,4
1858,ZNF350,1,8,3,,2,8,13
1859,NDUFB8,1,6,1,,46,46,53
1860,TALDO1,1,9,,5,11,11,25
1861,FXN,1,13,3,,7,13,23
1862,SETDB2,1,2,,,,2,2
1863,PMPCA,1,3,1,,1,3,5
1864,PHB2,1,23,6,,24,24,53
1865,MCAT,1,,1,,11,11,12
1866,SDHAF2,1,6,,,3,6,9
1867,SDHD,1,5,3,,,5,8
1792,SNX11,1,10,,,1,10,11
1790,INVS,1,6,,,6,6,12
1686,COLEC12,1,2,1,,2,2,5
1737,ADD1,1,12,4,,3,12,19
1713,AMPH,1,13,1,,59,59,73
1714,ADD3,1,6,2,,2,6,10
1715,LRP2,1,25,4,,,25,29
1716,SLC2A1,1,16,,,2,16,18
1717,SNX9,1,18,,,1,18,19
1718,CD320,1,1,1,,,1,2
1719,SCN1A,1,2,,,,2,2
1720,SYNE2,1,19,,12,6,19,37
1721,NTSR2,1,,1,,,1,1
1722,MYO6,1,23,2,,27,27,52
1723,TPD52,1,12,,,3,12,15
1724,LDLR,1,9,11,,8,11,28
1725,CDK14,1,9,,,1,9,10
1726,PCSK9,1,2,9,220,,220,231
1727,SYNGAP1,1,24,,,,24,24
1728,LDLRAP1,1,14,3,,1,14,18
1729,BIN1,1,21,1,53,4,53,79
1730,PPP1R14B,1,,,70,3,70,73
1731,NTSR1,1,2,1,,,2,3
1732,FGR,1,12,1,2,1,12,16
1733,DMTN,1,8,3,,3,8,14
1734,NLN,1,3,1,,1,3,5
1735,LRP8,1,26,2,,1,26,29
1712,ADD2,1,,2,,3,3,5
1711,DPPA4,1,35,,,2,35,37
1710,TCN2,1,1,3,42,,42,46
1697,PILRB,1,2,1,,4,4,7
1687,CD99,1,12,3,,,12,15
1688,DOK3,1,31,,,2,31,33
1689,ATP8B1,1,1,,,,1,1
1690,TMEM30A,1,12,,,8,12,20
1691,PILRA,1,9,5,,4,9,18
1692,ATP11A,1,1,,,1,1,2
833,KLKB1,1,11,7,463,,463,481
1694,LRRTM4,1,,,,4,4,4
1695,TPP2,1,6,,,2,6,8
1696,ATP10B,1,1,,,,1,1
1698,PIANP,1,4,1,,,4,5
1709,SYNE1,1,23,,,4,23,27
1699,NID2,1,19,1,,3,19,23
1700,SCARA3,1,6,,,2,6,8
1701,HSPG2,1,17,16,,3,17,36
1702,ANTXR1,1,,1,,1,1,2
1703,NFIL3,1,17,1,,,17,18
1704,NPDC1,1,36,1,,1,36,38
1705,SLC6A1,1,4,,,,4,4
1706,CHD2,1,14,,,,14,14
1707,NTS,1,4,3,,,4,7
1708,UBP1,1,7,,,1,7,8
1736,DAB2,1,16,4,,12,16,32
1738,ANKRD29,1,10,,,3,10,13
1789,ANKS6,1,20,,,3,20,23
1739,PIK3R5,1,6,9,,,9,15
1766,GSTK1,1,9,,,2,9,11
1767,FGFR3,1,313,16,,3,313,332
1768,CORO1B,1,11,,,2,11,13
1769,CASP9,1,14,14,,2,14,30
1770,ARL3,1,13,4,,,13,17
1771,APIP,1,20,3,,2,20,25
1772,SPATA7,1,7,,817,1,817,825
1773,AHI1,1,3,,,2,3,5
1774,NEK8,1,15,,,4,15,19
1775,MTARC2,1,,3,,9,9,12
1776,NPHP3,1,4,2,,4,4,10
1777,CYB5R3,1,64,4,,2,64,70
1778,HTRA2,1,68,,,2,68,70
1779,GNAT1,1,2,14,,,14,16
1780,XIAP,1,63,11,,5,63,79
1781,RP2,1,3,2,,3,3,8
1782,HAP1,1,92,,,1,92,93
1783,B9D2,1,10,,,3,10,13
1784,DIABLO,1,40,6,,,40,46
