Representative	Represented
GO:0060255	GO:0010935
GO:0060255	GO:0032649
GO:0060255	GO:0032609
GO:0060255	GO:0060907
GO:0060255	GO:0032715
GO:0060255	GO:1900017
GO:0060255	GO:0071634
GO:0060255	GO:0048368
GO:0032774	GO:0032774
GO:0080134	GO:0080134
GO:0080134	GO:0031347
GO:0080134	GO:0031349
GO:0080134	GO:0002218
GO:0080134	GO:0045089
GO:0080134	GO:0002758
GO:0080134	GO:0045088
GO:0080134	GO:0002221
GO:0080134	GO:0080135
GO:0080134	GO:0002224
GO:0080134	GO:0050727
GO:0080134	GO:0002753
GO:0080134	GO:0002755
GO:0080134	GO:0050729
GO:0080134	GO:0070423
GO:0080134	GO:0062207
GO:0080134	GO:0070424
GO:0080134	GO:0140894
GO:0080134	GO:0002756
GO:0080134	GO:1903034
GO:0080134	GO:0070431
GO:0080134	GO:0046330
GO:0080134	GO:0046328
GO:0080134	GO:0032872
GO:0080134	GO:0070302
GO:0080134	GO:0032874
GO:0080134	GO:0070304
GO:0080134	GO:0039531
GO:0080134	GO:0034138
GO:0080134	GO:1903209
GO:0080134	GO:0062208
GO:0080134	GO:0061041
GO:0080134	GO:0034121
GO:0080134	GO:1900103
GO:0080134	GO:1903894
GO:0080134	GO:1903201
GO:0080134	GO:0034162
GO:0080134	GO:0050691
GO:0080134	GO:0050688
GO:0080134	GO:1900407
GO:0080134	GO:0002861
GO:0080134	GO:1905897
GO:0080134	GO:1903035
GO:0080134	GO:1902882
GO:0080134	GO:0031348
GO:0080134	GO:1903202
GO:0080134	GO:0070570
GO:0080134	GO:0030193
GO:0080134	GO:1903036
GO:0080134	GO:0061045
GO:0080134	GO:0030195
GO:0080134	GO:0048679
GO:0080134	GO:0050728
GO:0048870	GO:0048870
GO:0048870	GO:2000145
GO:0048870	GO:2000147
GO:0048870	GO:2000146
GO:0051641	GO:0051641
GO:0051641	GO:0045184
GO:0051641	GO:0070727
GO:0051641	GO:0046907
GO:0051641	GO:0008104
GO:0051641	GO:0051649
GO:0051641	GO:0051668
GO:0051641	GO:0072657
GO:0051641	GO:1990778
GO:0051641	GO:0072659
GO:0051641	GO:0090150
GO:0051641	GO:0061951
GO:0051641	GO:0015919
GO:0051641	GO:0043574
GO:0051641	GO:0033365
GO:0051641	GO:0016482
GO:0051641	GO:0099643
GO:0051641	GO:0007269
GO:0051641	GO:0070198
GO:0051641	GO:0001956
GO:0051641	GO:0034502
GO:0051641	GO:0051590
GO:0051641	GO:0046928
GO:0051641	GO:0046902
GO:0051641	GO:0060341
GO:0051641	GO:0034504
GO:0051641	GO:0032880
GO:0051641	GO:0070199
GO:0051641	GO:1902108
GO:0051641	GO:0035794
GO:0051641	GO:0006839
GO:0051641	GO:1903829
GO:0051641	GO:1902110
GO:0051641	GO:1902686
GO:0051641	GO:0043113
GO:0051641	GO:0097345
GO:0051641	GO:1905475
GO:0051641	GO:1900180
GO:0051641	GO:1905477
GO:0051641	GO:1900182
GO:0051641	GO:0051169
GO:0051641	GO:0006913
GO:0051641	GO:0048489
GO:0051641	GO:0051170
GO:0051641	GO:1901028
GO:0051641	GO:1902414
GO:0051641	GO:1903909
GO:0051641	GO:0046822
GO:0051641	GO:2000010
GO:0051641	GO:1904375
GO:0051641	GO:1904951
GO:0051641	GO:0070201
GO:0051641	GO:0072655
GO:0051641	GO:0070585
GO:0051641	GO:0032386
GO:0051641	GO:1903078
GO:0051641	GO:1904377
GO:0051641	GO:0034394
GO:0051641	GO:1903076
GO:0051641	GO:1904950
GO:0051641	GO:0032387
GO:0051641	GO:0072595
GO:0051641	GO:0035418
GO:0051641	GO:0046824
GO:0051641	GO:1903828
GO:0051641	GO:1903649
GO:0051641	GO:0051457
GO:0033554	GO:0033554
GO:0033554	GO:0090398
GO:0033554	GO:0031098
GO:0033554	GO:0051403
GO:0033554	GO:0007254
GO:0033554	GO:0062197
GO:0033554	GO:0034599
GO:0033554	GO:0070059
GO:0033554	GO:2000772
GO:0033554	GO:2000773
GO:0033554	GO:0071218
GO:0033554	GO:0035967
GO:0033554	GO:0036473
GO:0033554	GO:0036294
GO:0033554	GO:0034605
GO:0033554	GO:0034620
GO:0033554	GO:0034976
GO:0033554	GO:0036498
GO:0033554	GO:0071456
GO:0033554	GO:0034614
GO:0033554	GO:0070301
GO:0033554	GO:0030433
GO:0044772	GO:0044772
GO:0044772	GO:0000082
GO:0044772	GO:1901990
GO:0044772	GO:2000045
GO:0044772	GO:1901992
GO:0044772	GO:0010389
GO:0044772	GO:1901991
GO:0044772	GO:0000086
GO:0044772	GO:0044818
GO:0044772	GO:0010972
GO:0044772	GO:2000134
GO:0044772	GO:1900087
GO:0044772	GO:0010971
GO:0034654	GO:0034654
GO:0019438	GO:0019438
GO:0035556	GO:0035556
GO:0035556	GO:1902531
GO:0035556	GO:1902533
GO:0035556	GO:0031570
GO:0035556	GO:0000075
GO:0035556	GO:0007264
GO:0035556	GO:0038061
GO:0035556	GO:0000165
GO:0035556	GO:0007093
GO:0035556	GO:0044774
GO:0035556	GO:0007265
GO:0035556	GO:0043408
GO:0035556	GO:0032482
GO:0035556	GO:0043410
GO:0035556	GO:0070371
GO:0035556	GO:0097193
GO:0035556	GO:0070372
GO:0035556	GO:0014065
GO:0035556	GO:1901222
GO:0035556	GO:0048015
GO:0035556	GO:0048017
GO:0035556	GO:0072331
GO:0035556	GO:0070374
GO:0035556	GO:1902532
GO:0035556	GO:0051056
GO:0035556	GO:1901224
GO:0035556	GO:2001242
GO:0035556	GO:0014068
GO:0035556	GO:1901976
GO:0035556	GO:0014066
GO:0035556	GO:0051897
GO:0035556	GO:0043491
GO:0035556	GO:1901796
GO:0035556	GO:0035329
GO:0035556	GO:2001244
GO:0035556	GO:0046578
GO:0035556	GO:0072332
GO:0035556	GO:0051896
GO:0035556	GO:0007266
GO:0035556	GO:0051057
GO:0035556	GO:0035023
GO:0035556	GO:0019932
GO:0035556	GO:0016601
GO:0035556	GO:0019722
GO:0035556	GO:0046579
GO:0035556	GO:0051058
GO:0035556	GO:0035024
GO:0035556	GO:2001243
GO:0018130	GO:0018130
GO:0009653	GO:0009653
GO:0009653	GO:0048646
GO:0009653	GO:0000902
GO:0009653	GO:0022603
GO:0009653	GO:0035239
GO:0009653	GO:0048858
GO:0009653	GO:0120039
GO:0009653	GO:0032990
GO:0009653	GO:0048812
GO:0009653	GO:0048514
GO:0009653	GO:0001525
GO:0009653	GO:0032989
GO:0009653	GO:0007409
GO:0009653	GO:0000904
GO:0009653	GO:0048667
GO:0009653	GO:0009887
GO:0009653	GO:0048729
GO:0009653	GO:0002009
GO:0009653	GO:0048598
GO:0009653	GO:0060562
GO:0009653	GO:0060560
GO:0009653	GO:0045765
GO:0009653	GO:0003007
GO:0009653	GO:1990138
GO:0009653	GO:0050770
GO:0009653	GO:0045766
GO:0009653	GO:1904018
GO:0009653	GO:0003179
GO:0009653	GO:0007411
GO:0009653	GO:0097485
GO:0009653	GO:0048754
GO:0009653	GO:0061138
GO:0009653	GO:0003143
GO:0009653	GO:0022604
GO:0009653	GO:0035987
GO:0009653	GO:1905314
GO:0009653	GO:0001704
GO:0009653	GO:0001763
GO:0009653	GO:0048675
GO:0009653	GO:0001756
GO:0009653	GO:0008360
GO:0009653	GO:0007369
GO:0009653	GO:0001706
GO:0009653	GO:0002040
GO:0009653	GO:0003176
GO:0009653	GO:0022612
GO:0009653	GO:0060444
GO:0009653	GO:0048562
GO:0009653	GO:0030326
GO:0009653	GO:0035113
GO:0009653	GO:0001947
GO:0009653	GO:0003180
GO:0009653	GO:0050772
GO:0009653	GO:0035107
GO:0009653	GO:0035108
GO:0009653	GO:0072576
GO:0009653	GO:0060411
GO:0009653	GO:0060561
GO:0009653	GO:0003206
GO:0009653	GO:0001570
GO:0009653	GO:2000345
GO:0009653	GO:0060439
GO:0009653	GO:0048546
GO:0009653	GO:0048593
GO:0009653	GO:0090596
GO:0009653	GO:0072574
GO:0009653	GO:0072575
GO:0009653	GO:2000136
GO:0009653	GO:0001569
GO:0009653	GO:0003215
GO:0009653	GO:0061323
GO:0009653	GO:0003151
GO:0009653	GO:0042476
GO:0009653	GO:0060042
GO:0009653	GO:0003208
GO:0009653	GO:0048592
GO:0009653	GO:0048844
GO:0009653	GO:0007435
GO:0009653	GO:2000027
GO:0009653	GO:0072132
GO:0009653	GO:0003203
GO:0009653	GO:0001738
GO:0009653	GO:0042733
GO:0009653	GO:0003188
GO:0009653	GO:0060425
GO:0009653	GO:0045773
GO:0009653	GO:0048645
GO:0009653	GO:0060603
GO:0009653	GO:0035148
GO:0009653	GO:0016331
GO:0009653	GO:0003177
GO:0009653	GO:0048745
